date,sp500_ret
2012-04-24,0.003327
2012-04-25,0.013676
2012-04-26,0.007024
2012-04-27,0.002704
2012-04-30,-0.003841
2012-05-01,0.005573
2012-05-02,-0.002329
2012-05-03,-0.00757
2012-05-04,-0.016202
2012-05-07,0.000175
2012-05-08,-0.004166
2012-05-09,-0.006242
2012-05-10,0.002691
2012-05-11,-0.003215
2012-05-14,-0.011019
2012-05-15,-0.005451
2012-05-16,-0.004271
2012-05-17,-0.014673
2012-05-18,-0.007276
2012-05-21,0.016123
2012-05-22,0.000573
2012-05-23,0.001839
2012-05-24,0.001519
2012-05-25,-0.00208
2012-05-29,0.011299
2012-05-30,-0.014079
2012-05-31,-0.002107
2012-06-01,-0.024708
2012-06-04,0.000295
2012-06-05,0.005835
2012-06-06,0.023073
2012-06-07,1.4e-05
2012-06-08,0.008371
2012-06-11,-0.012739
2012-06-12,0.011654
2012-06-13,-0.006675
2012-06-14,0.01073
2012-06-15,0.010421
2012-06-18,0.001494
2012-06-19,0.009845
2012-06-20,-0.001449
2012-06-21,-0.022091
2012-06-22,0.007081
2012-06-25,-0.015578
2012-06-26,0.004758
2012-06-27,0.008995
2012-06-28,-0.002167
2012-06-29,0.025166
2012-07-02,0.002405
2012-07-03,0.006713
2012-07-05,-0.004557
2012-07-06,-0.009039
2012-07-09,-0.001629
2012-07-10,-0.008019
2012-07-11,-2e-05
2012-07-12,-0.00503
2012-07-13,0.016617
2012-07-16,-0.002319
2012-07-17,0.007375
2012-07-18,0.006779
2012-07-19,0.002712
2012-07-20,-0.009819
2012-07-23,-0.009045
2012-07-24,-0.009039
2012-07-25,-0.000343
2012-07-26,0.016661
2012-07-27,0.019238
2012-07-30,-0.000306
2012-07-31,-0.004437
2012-08-01,-0.003073
2012-08-02,-0.007161
2012-08-03,0.019034
2012-08-06,0.002376
2012-08-07,0.005174
2012-08-08,0.001014
2012-08-09,0.000757
2012-08-10,0.002143
2012-08-13,-0.001029
2012-08-14,0.000231
2012-08-15,0.001656
2012-08-16,0.006944
2012-08-17,0.00186
2012-08-20,-2.5e-05
2012-08-21,-0.003603
2012-08-22,0.00025
2012-08-23,-0.007941
2012-08-24,0.006713
2012-08-27,-0.000408
2012-08-28,-0.000706
2012-08-29,0.001133
2012-08-30,-0.007663
2012-08-31,0.005188
2012-09-04,-0.000936
2012-09-05,-0.000866
